name,category,row_id,ingredient_number,ingredient,measure,measure_number
Nineteenth Hole,Cocktail Classics,49,3,sweet vermouth,1 oz,1
Nineteenth Hole,Cocktail Classics,49,4,bitters,1 dash,0.02
Montreal Club Bouncer,Cocktail Classics,50,1,gin,1.5 oz,1.5
Montreal Club Bouncer,Cocktail Classics,50,2,anisette,.5 oz,0.5
Monte Carlo Imperial Highball,Cocktail Classics,51,1,gin,2 oz,2
Monte Carlo Imperial Highball,Cocktail Classics,51,3,lemon juice,.25 oz,0.25
Irish Shillelagh,Whiskies,52,2,light rum,1 oz,1
Irish Shillelagh,Whiskies,52,4,lemon juice,1 oz,1
Irish Shillelagh,Whiskies,52,5,simple syrup,.5 oz,0.5
Melon Cocktail,Cocktail Classics,53,1,gin,2 oz,2
Melon Cocktail,Cocktail Classics,53,2,lemon juice,.25 oz,0.25
Melon Cocktail,Cocktail Classics,53,3,maraschino,.25 oz,0.25
Martini (Medium),Cocktail Classics,54,1,gin,1.5 oz,1.5
Martini (Medium),Cocktail Classics,54,2,dry vermouth,.5 oz,0.5
Martini (Medium),Cocktail Classics,54,3,sweet vermouth,.5 oz,0.5
Martini (Dry) (5-to-1),Cocktail Classics,55,1,gin,1 2/3 oz,1
Martini (Dry) (5-to-1),Cocktail Classics,55,2,dry vermouth,1/3 oz,1
Mamie's Sister,Cocktail Classics,56,1,lime juice,1 oz,1
Mamie's Sister,Cocktail Classics,56,2,gin,2 oz,2
Irish Rickey,Whiskies,57,2,lime juice,.5 oz,0.5
Maiden's Prayer,Cocktail Classics,58,1,gin,1.5 oz,1.5
Maiden's Prayer,Cocktail Classics,58,2,triple sec,.5 oz,0.5
Maiden's Prayer,Cocktail Classics,58,3,lemon juice,1 oz,1
Lone Tree Cocktail,Cocktail Classics,59,1,sweet vermouth,.75 oz,0.75
Lone Tree Cocktail,Cocktail Classics,59,2,gin,1.5 oz,1.5
London Buck,Cocktail Classics,60,1,gin,2 oz,2
London Buck,Cocktail Classics,60,2,lemon juice,.5 oz,0.5
Leap Frog Highball,Cocktail Classics,61,1,lemon juice,.5 oz,0.5
Leap Frog Highball,Cocktail Classics,61,2,gin,2 oz,2
Kup's Indispensable Cocktail,Cocktail Classics,63,2,dry vermouth,.5 oz,0.5
Kup's Indispensable Cocktail,Cocktail Classics,63,3,gin,1.5 oz,1.5
Kup's Indispensable Cocktail,Cocktail Classics,63,4,bitters,1 dash,0.02
Knock-Out Cocktail,Cocktail Classics,64,1,anisette,.5 oz,0.5
Knock-Out Cocktail,Cocktail Classics,64,2,gin,.75 oz,0.75
Knock-Out Cocktail,Cocktail Classics,64,3,dry vermouth,.75 oz,0.75
K. G. B. Cocktail,Cocktail Classics,65,2,gin,1.5 oz,1.5
K. G. B. Cocktail,Cocktail Classics,65,3,apricot flavored brandy,.25 oz,0.25
K. G. B. Cocktail,Cocktail Classics,65,4,lemon juice,.25 oz,0.25
Imperial Fizz,Whiskies,66,2,light rum,.5 oz,0.5
Imperial Fizz,Whiskies,66,3,lemon juice,1 oz,1
Imperial Fizz,Whiskies,66,4,simple syrup,.5 oz,0.5
Jeyplak Cocktail,Cocktail Classics,67,1,gin,1.5 oz,1.5
Jeyplak Cocktail,Cocktail Classics,67,2,sweet vermouth,.75 oz,0.75
Jeyplak Cocktail,Cocktail Classics,67,3,anisette,.25 oz,0.25
H. P. W. Cocktail,Cocktail Classics,68,1,dry vermouth,1.5 oz,1.5
H. P. W. Cocktail,Cocktail Classics,68,2,sweet vermouth,1.5 oz,1.5
H. P. W. Cocktail,Cocktail Classics,68,3,gin,1.5 oz,1.5
Hotel Plaza Cocktail,Cocktail Classics,70,1,sweet vermouth,.75 oz,0.75
Hotel Plaza Cocktail,Cocktail Classics,70,2,dry vermouth,.75 oz,0.75
Hotel Plaza Cocktail,Cocktail Classics,70,3,gin,.75 oz,0.75
Hoffman House Cocktail,Cocktail Classics,71,1,dry vermouth,.75 oz,0.75
Hoffman House Cocktail,Cocktail Classics,71,2,gin,1.5 oz,1.5
Hawaiin Cocktail,Cocktail Classics,72,1,gin,2 oz,2
Hawaiin Cocktail,Cocktail Classics,72,2,pineapple juice,1 oz,1
Hawaiin Cocktail,Cocktail Classics,72,3,triple sec,.5 oz,0.5
White Russian,Vodka,73,1,vodka,2 oz,2
Greyhound,Cocktail Classics,74,1,gin,1.5 oz,1.5
Greyhound,Cocktail Classics,74,2,grapefruit juice,5 oz,5
Green Devil,Cocktail Classics,75,1,gin,1.5 oz,1.5
Green Devil,Cocktail Classics,75,3,lime juice,1 oz,1
Greenback,Cocktail Classics,76,1,gin,1.5 oz,1.5
Greenback,Cocktail Classics,76,3,lemon juice,1 oz,1
Grapefruit Cocktail,Cocktail Classics,77,1,grapefruit juice,1 oz,1
Grapefruit Cocktail,Cocktail Classics,77,2,gin,1 oz,1
Grapefruit Cocktail,Cocktail Classics,77,3,maraschino,1 oz,1
Hotel D'alsace,Whiskies,78,3,benedictine,.5 oz,0.5
Hotel D'alsace,Whiskies,78,4,triple sec,.5 oz,0.5
Jamaica Granito,Brandy,79,1,brandy,1.5 oz,1.5
Jamaica Granito,Brandy,79,2,triple sec,1 oz,1
Jamaica Granito,Brandy,79,3,lemon juice,1 oz,1
Gin Sling,Cocktail Classics,80,1,powdered sugar,1 oz,1
Gin Sling,Cocktail Classics,80,3,lemon juice,.5 oz,0.5
Gin Sling,Cocktail Classics,80,4,gin,2 oz,2
Gin Milk Punch,Cocktail Classics,81,1,powdered sugar,1 oz,1
Gin Milk Punch,Cocktail Classics,81,2,gin,2 oz,2
Horse's Neck (With A Kick),Whiskies,82,1,lemon juice,1 oz,1
Horse's Neck (With A Kick),Whiskies,82,2,bourbon whiskey,2 oz,2
Gin and It,Cocktail Classics,83,1,gin,2 oz,2
Gin and It,Cocktail Classics,83,2,sweet vermouth,1 oz,1
Gin Cocktail,Cocktail Classics,84,1,gin,2 oz,2
Gin Cocktail,Cocktail Classics,84,2,bitters,2 dash,0.04
West Side,Vodka,85,1,lemon juice,1.5 oz,1.5
West Side,Vodka,85,3,simple syrup,.5 oz,0.5
Gimlet,Cocktail Classics,86,1,lime juice,1 oz,1
Gimlet,Cocktail Classics,86,2,powdered sugar,1 oz,1
Gimlet,Cocktail Classics,86,3,gin,1.5 oz,1.5
Free Silver,Cocktail Classics,87,1,lemon juice,.25 oz,0.25
Free Silver,Cocktail Classics,87,2,powdered sugar,.5 oz,0.5
Free Silver,Cocktail Classics,87,3,gin,1.5 oz,1.5
Free Silver,Cocktail Classics,87,4,dark rum,.5 oz,0.5
Frankenjack Cocktail,Cocktail Classics,88,1,gin,1 oz,1
Frankenjack Cocktail,Cocktail Classics,88,2,dry vermouth,.75 oz,0.75
Frankenjack Cocktail,Cocktail Classics,88,3,apricot flavored brandy,.5 oz,0.5
Frankenjack Cocktail,Cocktail Classics,88,4,triple sec,1 oz,1
Frankenjack Cocktail,Cocktail Classics,88,5,lime juice,.5 oz,0.5
Fog Horn,Cocktail Classics,89,1,lime juice,.5 oz,0.5
Fog Horn,Cocktail Classics,89,3,gin,2 oz,2
Fog Horn,Cocktail Classics,89,4,triple sec,1 oz,1
Flying Dutchman,Cocktail Classics,90,1,gin,2 oz,2
Flying Dutchman,Cocktail Classics,90,2,triple sec,1 oz,1
Hoot Mon Cocktail,Whiskies,91,1,blended scotch whiskey,1.5 oz,1.5
Hoot Mon Cocktail,Whiskies,91,2,sweet vermouth,.75 oz,0.75
Hoot Mon Cocktail,Whiskies,91,3,benedictine,1 oz,1
Fifty-Fifty Cocktail,Cocktail Classics,92,1,gin,1.5 oz,1.5
Fifty-Fifty Cocktail,Cocktail Classics,92,2,dry vermouth,1.5 oz,1.5
Favorite Cocktail,Cocktail Classics,93,1,apricot flavored brandy,.75 oz,0.75
Favorite Cocktail,Cocktail Classics,93,2,dry vermouth,.75 oz,0.75
Favorite Cocktail,Cocktail Classics,93,3,gin,.75 oz,0.75
Favorite Cocktail,Cocktail Classics,93,4,lemon juice,.25 oz,0.25
Farmer's Cocktail,Cocktail Classics,94,1,gin,1 oz,1
Farmer's Cocktail,Cocktail Classics,94,2,dry vermouth,.5 oz,0.5
Farmer's Cocktail,Cocktail Classics,94,3,sweet vermouth,.5 oz,0.5
Farmer's Cocktail,Cocktail Classics,94,4,bitters,2 dash,0.04
Warsaw Cocktail,Vodka,95,1,vodka,1.5 oz,1.5
Warsaw Cocktail,Vodka,95,3,dry vermouth,.5 oz,0.5
Warsaw Cocktail,Vodka,95,4,lemon juice,1 oz,1
Emerald Isle Cocktail,Cocktail Classics,96,1,gin,2 oz,2
Emerald Isle Cocktail,Cocktail Classics,96,3,bitters,3 dash,0.06
Du Barry Cocktail,Cocktail Classics,97,1,bitters,1 dash,0.02
Du Barry Cocktail,Cocktail Classics,97,2,dry vermouth,.75 oz,0.75
Du Barry Cocktail,Cocktail Classics,97,3,anisette,.5 oz,0.5
Du Barry Cocktail,Cocktail Classics,97,4,gin,1.5 oz,1.5
Dry Martini (5-to-1),Cocktail Classics,98,1,gin,1 2/3 oz,1
Dry Martini (5-to-1),Cocktail Classics,98,2,dry vermouth,1/3 oz,1
Dixie Cocktail,Cocktail Classics,99,1,orange juice,.25 oz,0.25
Dixie Cocktail,Cocktail Classics,99,2,anisette,1 oz,1
Dixie Cocktail,Cocktail Classics,99,3,dry vermouth,.5 oz,0.5
Dixie Cocktail,Cocktail Classics,99,4,gin,1 oz,1
Delmonico No. 2,Cocktail Classics,100,1,bitters,1 dash,0.02
Delmonico No. 2,Cocktail Classics,100,2,dry vermouth,1 oz,1
Delmonico No. 2,Cocktail Classics,100,3,gin,1.5 oz,1.5
Hole-In-One,Whiskies,101,1,blended scotch whiskey,1.75 oz,1.75
Hole-In-One,Whiskies,101,2,dry vermouth,.75 oz,0.75
Hole-In-One,Whiskies,101,3,lemon juice,.25 oz,0.25
Hole-In-One,Whiskies,101,4,bitters,1 dash,0.02
Vodka Stinger,Vodka,102,1,vodka,1 oz,1
Caruso,Cocktail Classics,103,1,gin,1.5 oz,1.5
Caruso,Cocktail Classics,103,2,dry vermouth,1 oz,1
Bulldog Highball,Cocktail Classics,104,1,orange juice,.5 oz,0.5
Bulldog Highball,Cocktail Classics,104,2,gin,2 oz,2
Brown Cocktail,Cocktail Classics,105,1,gin,.75 oz,0.75
Brown Cocktail,Cocktail Classics,105,2,light rum,.75 oz,0.75
Brown Cocktail,Cocktail Classics,105,3,dry vermouth,.75 oz,0.75
Bronx Terrace Cocktail,Cocktail Classics,106,1,gin,1.5 oz,1.5
Bronx Terrace Cocktail,Cocktail Classics,106,2,dry vermouth,1.5 oz,1.5
Bronx Terrace Cocktail,Cocktail Classics,106,3,lime juice,.5 oz,0.5
Bronx Cocktail (Dry),Cocktail Classics,107,1,gin,1 oz,1
Bronx Cocktail (Dry),Cocktail Classics,107,2,dry vermouth,1 oz,1
Bronx Cocktail (Dry),Cocktail Classics,107,3,orange juice,.25 oz,0.25
Blue Devil Cocktail,Cocktail Classics,109,1,gin,1 oz,1
Blue Devil Cocktail,Cocktail Classics,109,2,lemon juice,.5 or 1,0.5
Blue Devil Cocktail,Cocktail Classics,109,3,maraschino,1 oz,1
Blue Canary,Cocktail Classics,110,1,gin,.75 oz,0.75
Blue Canary,Cocktail Classics,110,2,grapefruit juice,3 oz,3
Blue Bird,Cocktail Classics,111,1,gin,1.5 oz,1.5
Blue Bird,Cocktail Classics,111,2,triple sec,.5 oz,0.5
Blue Bird,Cocktail Classics,111,3,bitters,1 dash,0.02
Bloodhound Cocktail,Cocktail Classics,112,1,dry vermouth,.5 oz,0.5
Bloodhound Cocktail,Cocktail Classics,112,2,sweet vermouth,.5 oz,0.5
Bloodhound Cocktail,Cocktail Classics,112,3,gin,1 oz,1
Billy Taylor,Cocktail Classics,113,1,lime juice,.5 oz,0.5
Billy Taylor,Cocktail Classics,113,2,gin,2 oz,2
Bijou Cocktail,Cocktail Classics,114,1,gin,.75 oz,0.75
Bijou Cocktail,Cocktail Classics,114,3,sweet vermouth,.75 oz,0.75
Bijou Cocktail,Cocktail Classics,114,4,bitters,1 dash,0.02
Bermuda Rose,Cocktail Classics,115,1,gin,1.25 oz,1.25
Bermuda Rose,Cocktail Classics,115,2,apricot flavored brandy,1.5 oz,1.5
Bermuda Rose,Cocktail Classics,115,3,grenadine,1.5 oz,1.5
Vodka Sour,Vodka,116,1,vodka,2 oz,2
Vodka Sour,Vodka,116,3,lemon juice,.75 oz,0.75
Vodka Sour,Vodka,116,4,simple syrup,.75 oz,0.75
Apricot Anisette Collins,Cocktail Classics,117,1,gin,1.5 oz,1.5
Apricot Anisette Collins,Cocktail Classics,117,2,apricot flavored brandy,.5 oz,0.5
Apricot Anisette Collins,Cocktail Classics,117,3,anisette,1.5 oz,1.5
Apricot Anisette Collins,Cocktail Classics,117,4,lemon juice,1 oz,1
Alexander's Sister Cocktail,Cocktail Classics,118,3,light cream,1 oz,1
Highland Cooler,Whiskies,119,1,blended scotch whiskey,2 oz,2
Highland Cooler,Whiskies,119,2,simple syrup,.5 oz,0.5
Alexander Cocktail No. 1,Cocktail Classics,120,1,gin,1 oz,1
Alexander Cocktail No. 1,Cocktail Classics,120,3,light cream,1 oz,1
Adam and Eve,Cocktail Classics,121,2,gin,1 oz,1
Adam and Eve,Cocktail Classics,121,3,brandy,1 oz,1
Adam and Eve,Cocktail Classics,121,4,lemon juice,1 oz,1
Vodka Sling,Vodka,122,1,vodka,2 oz,2
Vodka Sling,Vodka,122,2,lemon juice,1 oz,1
Vodka Sling,Vodka,122,3,simple syrup,.5 oz,0.5
Jack Rose Cocktail,Brandy,123,2,lime juice,.5 oz,0.5
Jack Rose Cocktail,Brandy,123,3,grenadine,.25 oz,0.25
Tempter Cocktail,Cocktail Classics,124,1,port,1 oz,1
Tempter Cocktail,Cocktail Classics,124,2,apricot flavored brandy,1 oz,1
Special Rough Cocktail,Cocktail Classics,125,1,apple brandy,1.5 oz,1.5
Special Rough Cocktail,Cocktail Classics,125,2,brandy,1.5 oz,1.5
Special Rough Cocktail,Cocktail Classics,125,3,anisette,.5 oz,0.5
Vodka Grasshopper,Vodka,126,1,vodka,.75 oz,0.75
Vodka Grasshopper,Vodka,126,3,white creme de cacao,.75 oz,0.75
Vodka Grasshopper,Vodka,126,4,half and half,.75 oz,0.75
Singapore Sling,Cocktail Classics,127,1,lemon juice,.5 oz,0.5
Singapore Sling,Cocktail Classics,127,2,powdered sugar,1 oz,1
Singapore Sling,Cocktail Classics,127,3,gin,2 oz,2
Singapore Sling,Cocktail Classics,127,5,cherry flavored brandy,.5 oz,0.5
Saratoga Cocktail,Cocktail Classics,128,1,brandy,2 oz,2
Saratoga Cocktail,Cocktail Classics,128,2,bitters,2 dash,0.04
Saratoga Cocktail,Cocktail Classics,128,3,lemon juice,1 oz,1
Saratoga Cocktail,Cocktail Classics,128,4,pineapple juice,1 oz,1
Saratoga Cocktail,Cocktail Classics,128,5,maraschino,.5 oz,0.5
High Cotton,Whiskies,129,1,straight rye whiskey,2 oz,2
High Cotton,Whiskies,129,4,bitters,2 dash,0.04
Polonaise,Cocktail Classics,130,1,brandy,1.5 oz,1.5
Polonaise,Cocktail Classics,130,4,lemon juice,1 oz,1
Vodka Gimlet,Vodka,131,1,vodka,1.5 oz,1.5
Vodka Gimlet,Vodka,131,2,lime juice,1 oz,1
Vodka Gimlet,Vodka,131,3,simple syrup,.5 oz,0.5
Merry Widow Cocktail No. 2,Cocktail Classics,132,1,maraschino,1.25 oz,1.25
Merry Widow Cocktail No. 2,Cocktail Classics,132,2,cherry flavored brandy,1.25 oz,1.25
Lugger,Cocktail Classics,133,1,brandy,1 oz,1
Lugger,Cocktail Classics,133,2,apple brandy,1 oz,1
Lugger,Cocktail Classics,133,3,apricot flavored brandy,1 oz,1
Jamaica Hop,Cocktail Classics,134,3,light cream,1 oz,1
Hebrides,Whiskies,135,2,maraschino,.5 oz,0.5
Hebrides,Whiskies,135,3,triple sec,.5 oz,0.5
Hebrides,Whiskies,135,5,lemon juice,.5 oz,0.5
Hebrides,Whiskies,135,6,bitters,1 dash,0.02
Hennessy Martini,Cocktail Classics,136,2,lemon juice,.5 oz,0.5
Vodka Daisy,Vodka,137,1,vodka,2 oz,2
Vodka Daisy,Vodka,137,2,lemon juice,1 oz,1
Vodka Daisy,Vodka,137,3,simple syrup,.5 oz,0.5
Vodka Daisy,Vodka,137,4,grenadine,1 oz,1
Heavenly Dram,Whiskies,138,3,lemon juice,.75 oz,0.75
Classic Cocktail,Cocktail Classics,139,1,lemon juice,.25 oz,0.25
Classic Cocktail,Cocktail Classics,139,3,maraschino,1.5 oz,1.5
Classic Cocktail,Cocktail Classics,139,4,brandy,1 oz,1
Cherry Sling,Cocktail Classics,140,1,cherry flavored brandy,2 oz,2
Cherry Sling,Cocktail Classics,140,2,lemon juice,.5 oz,0.5
Cherry Fizz,Cocktail Classics,141,1,lemon juice,.5 oz,0.5
Cherry Fizz,Cocktail Classics,141,2,cherry flavored brandy,2 oz,2
Vodka Cooler,Vodka,142,1,vodka,2 oz,2
Vodka Cooler,Vodka,142,2,simple syrup,.5 oz,0.5
